"dayStart","latStart","lonStart","dayEnd","latEnd","lonEnd"
1967-12-01,50,145,1968-02-29,52.893,138.659
1968-12-01,50,145,1969-03-01,46.211,136.718
1969-12-01,50,145,1970-03-01,59.595,140.423
1970-12-01,50,145,1971-03-01,49.524,130.683
1971-12-01,50,145,1972-02-29,48.424,132.329
1972-12-01,50,145,1973-03-01,51.98,139.7
1973-12-01,50,145,1974-03-01,54.078,136.681
1974-12-01,50,145,1975-03-01,51.995,134.528
1975-12-01,50,145,1976-02-29,56.367,137.244
1976-12-01,50,145,1977-03-01,61.163,140.373
1977-12-01,50,145,1978-03-01,55.08,145.315
1978-12-01,50,145,1979-03-01,55.481,138.712
1979-12-01,50,145,1980-02-29,54.564,138.599
1980-12-01,50,145,1981-03-01,57.766,144.945
1981-12-01,50,145,1982-03-01,50.38,134.407
1982-12-01,50,145,1983-03-01,59.612,148.857
1983-12-01,50,145,1984-02-29,56.7,140.392
1984-12-01,50,145,1985-03-01,53.924,134.215
1985-12-01,50,145,1986-03-01,58.004,152.108
1986-12-01,50,145,1987-03-01,59.93,145.141
1987-12-01,50,145,1988-02-29,53.709,136.548
1988-12-01,50,145,1989-03-01,50.648,137.626
1989-12-01,50,145,1990-03-01,58.062,136.274
1990-12-01,50,145,1991-03-01,57.084,137.577
1991-12-01,50,145,1992-02-29,59.406,141.214
1992-12-01,50,145,1993-03-01,49.062,137.531
1993-12-01,50,145,1994-03-01,57.486,141.192
1994-12-01,50,145,1995-03-01,54.43,141.393
1995-12-01,50,145,1996-02-29,53.887,138.988
1996-12-01,50,145,1997-03-01,57.341,138.4
1997-12-01,50,145,1998-03-01,59.241,143.738
1998-12-01,50,145,1999-03-01,53.918,136.947
1999-12-01,50,145,2000-02-29,55.049,137.644
2000-12-01,50,145,2001-03-01,57.472,138.861
2001-12-01,50,145,2002-03-01,51.889,135.42
2002-12-01,50,145,2003-03-01,55.748,141.727
2003-12-01,50,145,2004-02-29,54.788,138.334
2004-12-01,50,145,2005-03-01,53.532,137.634
2005-12-01,50,145,2006-03-01,55.597,137.644
2006-12-01,50,145,2007-03-01,56.745,139.947
2007-12-01,50,145,2008-02-29,51.95,133.631
2008-12-01,50,145,2009-03-01,51.848,138.595
2009-12-01,50,145,2010-03-01,54.747,156.728
2010-12-01,50,145,2011-03-01,49.459,135.373
2011-12-01,50,145,2012-02-29,59.014,137.345
2012-12-01,50,145,2013-03-01,51.541,129.287
2013-12-01,50,145,2014-03-01,58.518,140.023
2014-12-01,50,145,2015-03-01,57.072,141.688
2015-12-01,50,145,2016-02-29,58.778,139.636
2016-12-01,50,145,2017-03-01,47.105,137.562
2017-12-01,50,145,2018-03-01,53.829,139.863
2018-12-01,50,145,2019-03-01,49.64,139.425
2019-12-01,50,145,2020-02-29,51.851,133.695
2020-12-01,50,145,2021-03-01,56.696,136.914
2021-12-01,50,145,2022-03-01,48.978,132.219
